ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
,ため息,ためいき,দীর্ঘশ্বাস,উদ্বেগ,দীর্ঘশ্বাস,হতাশাজনক,দীর্ঘশ্বাস,今日は失敗ばかりでため息が出る。,আজ আমি সব ব্যর্থতার জন্য দীর্ঘশ্বাস ফেলছি।,バングラデシュ語,N2
,惜しい,おしい,দুঃখের বিষয়,আলগা,দুঃখের বিষয়,নিস্তেজ,দুঃখের বিষয়,あと一点であいてチームに勝てたのにおしい。,প্রতিপক্ষ দলকে আরও এক পয়েন্টে হারাতে পেরে ভালো লাগছে।,バングラデシュ語,N2
,補う,おぎなう,ক্ষতিপূরণ,আবরণ,ক্ষতিপূরণ,বরাবর অনুসরণ,ক্ষতিপূরণ,あなたは私に足りないものを補う,আমার অভাব তুমি পূরণ কর।,バングラデシュ語,N2
,運賃,うんちん,ভাড়া,মলত্যাগ,ভাড়া,আনরিন,ভাড়া,バスの運賃を払う。,বাস ভাড়া পরিশোধ করুন।,バングラデシュ語,N2
,険しかった,けわしかった,বিপজ্জনক,বিপজ্জনক,এটা উজ্জ্বল ছিল,এটা তীব্র ছিল,বিপজ্জনক,思った以上に険しかった。,এটা আমার ধারণার চেয়েও বেশি বিপজ্জনক ছিল।,バングラデシュ語,N2
,握手,あくしゅ,হ্যান্ডশেক,হাকুশু,হ্যান্ডশেক,ওকুশু,হ্যান্ডশেক,さっき握手した人だれですか,আপনি এইমাত্র যার সাথে হাত মেলালেন তার কে?,バングラデシュ語,N2
,布,ぬの,কাপড়,কাপড়,থলে,দড়ি ,কাপড়,そのぬのを広げてください。,অনুগ্রহ করে কাপড়টি ছড়িয়ে দিন।,バングラデシュ語,N2
,捨てられて,すてられて,পরিত্যক্ত,কুড়ান,অনুসন্ধান করা হচ্ছে,পরিত্যক্ত,পরিত্যক্ত,毎日たくさんのごみをすてられている。,প্রতিদিন প্রচুর আবর্জনা ফেলা হয়।,バングラデシュ語,N2
,機嫌,きげん,মেজাজ,মেজাজ,অপছন্দ,সংকট,মেজাজ,山田さんの機嫌がよいとき頼んでみよう。,আসুন মিঃ ইয়ামাদাকে জিজ্ঞাসা করি যখন তিনি ভাল মেজাজে আছেন।,バングラデシュ語,N2
,乱れて,みだれ,বিশৃঙ্খল,ধসে পড়েছে,বিশৃঙ্খল,উন্মুক্ত,বিশৃঙ্খল,風が強くて、髪が乱れてしまった。,বাতাস এত প্রবল ছিল যে আমার চুল এলোমেলো হয়ে গিয়েছিল।,バングラデシュ語,N2
,損失,そんしつ,ক্ষতি,মানশিৎসু,প্রশিক্ষণ,কানশিটসু,প্রশিক্ষণ,これは、会社にとって大きな損失だ。,এটি কোম্পানির জন্য একটি বড় ক্ষতি।,バングラデシュ語,N2
,見出し, みだし,শিরোনাম,বিবিধ,মিশুশি,মিদেশি,বিবিধ,ネットニュースの見出しをざっと見る。,অনলাইন সংবাদ শিরোনাম একটি দ্রুত কটাক্ষপাত.,バングラデシュ語,N2
,配達,はいたつ,বিতরণ,বিস্ফোরণ,সাইতাত্সু,বিতরণ,বিতরণ,朝、新聞配達のバイトをしている。,"সকালে, আমি খবরের কাগজ বিতরণ একটি খণ্ডকালীন কাজ আছে.",バングラデシュ語,N2
,周辺,しゅうへん,কাছাকাছি,কাছাকাছি,শুতোরি,শুভেন,কাছাকাছি,毎日、公園の周辺を30分歩く。,প্রতিদিন 30 মিনিটের জন্য পার্কের চারপাশে হাঁটুন।,バングラデシュ語,N2
,返品,へんぴん,প্রত্যাবর্তন,হেম্বিন,প্রত্যাবর্তন,উত্তর,প্রত্যাবর্তন,ネットの写真と違う商品が届いたので、返品した。,আমি পণ্যটি ফেরত দিয়েছি কারণ আমি যে পণ্যটি পেয়েছি তা ইন্টারনেটে চিত্রিত পণ্যের থেকে আলাদা।,バングラデシュ語,N2
,金額,きんがく,টাকার পরিমান,টাকার পরিমান,কিঙ্কাই,কিন্নাই,কিঙ্গাকু,この店で買った金額によって、くじ引きができる。,আপনি এই দোকানে কিনছেন তার উপর ভিত্তি করে একটি লটারি লিখতে পারেন৷,バングラデシュ語,N2
,名物,めいぶつ,বিশেষত্ব,নাম ফলক,মিজাশি,বিশেষত্ব,বিশেষত্ব,最近は、地方の名物がネットで買える。,"এই দিন, আপনি স্থানীয় বিশেষত্ব অনলাইন কিনতে পারেন.",バングラデシュ語,N2
,手間,てま,সময় এবং প্রচেষ্টা,সময় এবং প্রচেষ্টা,টুলস,হাতের মেঝে,সময় এবং প্রচেষ্টা,手間かかる料理を作る。,সময় সাপেক্ষ খাবার রান্না করা।,バングラデシュ語,N2
,適度,てきど,পরিমিত ,টেকিটো,পরিমিত ,এটা কঠিন,পরিমিত ,適度な運動は、体によい。,পরিমিত ব্যায়াম আপনার শরীরের জন্য ভাল।,バングラデシュ語,N2
,煙,けむり,ধোঁয়া ,ধোঁয়া,হালকা ,কিরি,ধোঁয়া,遠くに白い煙が見えます。,দূরে সাদা ধোঁয়া দেখা যায়।,バングラデシュ語,N2
,報告,ほうこく,রিপোর্ট,এখানে,কাউকু,রিপোর্ট,রিপোর্ট,新聞に報告をのせる。,পত্রিকায় রিপোর্ট জমা দিন।,バングラデシュ語,N2
,素直,すなお,সৎ,সোজা,সৎ,শোজিকি,সৎ,彼女は素直な性格だ。,তিনি একটি সৎ ব্যক্তিত্ব আছে.,バングラデシュ語,N2
,営業,えいぎょう,বিক্রয়,বিক্রয়,সোজিও,কোগিও,বিক্রয়,この店は、一年中休まないで営業している。,এই দোকান সারা বছর খোলা থাকে।,バングラデシュ語,N2
,内定,ないてい,অনানুষ্ঠানিক অফার,শেষ হওয়া ,ভিতরে,অফার ,অফার ,三つの会社から内定もらった。,আমি তিনটি কোম্পানি থেকে অফার পেয়েছি।,バングラデシュ語,N2
,望ましい,のぞましい,কাম্য,অবাধ্য ,কামনা ,কাগজ ,কামনা ,この会社で語学のできる人が望ましいそうだ。,"স্পষ্টতই, যারা ভাষায় কথা বলতে পারে তারা এই কোম্পানির জন্য কাম্য।",バングラデシュ語,N2
,比べて,くらべて,তুলনা করা,সারিবদ্ধ,আমাকে জিজ্ঞাসা কর,তুলনা করা,তুলনা করা,どちらのほうが大きいか、比べてみましょう．,এর তুলনা করা যাক কোনটি বড়।,バングラデシュ語,N2
,沈む,しずむ,ডুব,বিকৃত,ডুব,এগিয়ে যান,ডুব,手抜き工事のせいで、家の床が歩くと沈む。,নিম্নমানের নির্মাণ কাজের কারণে হেঁটে গেলে ঘরের মেঝে ডুবে যায়।,バングラデシュ語,N2
,関心事,かんしんじ,স্বার্থ,স্বার্থ,কর্কট শিঞ্জি,কাঞ্জিকান,স্বার্থ,景気の回復は 就職活動中の 学生にとって最大の 関心事である。,চাকরি খুঁজতে থাকা শিক্ষার্থীদের জন্য অর্থনৈতিক পুনরুদ্ধার একটি শীর্ষ উদ্বেগের বিষয়।,バングラデシュ語,N2
,基準,きじゅん,মান,কিহান,নিয়ম,মান,মান,赤ちゃん用おもちゃの安全基準は激し過ぎることはない,চাকরি খুঁজতে থাকা শিক্ষার্থীদের জন্য অর্থনৈতিক পুনরুদ্ধার একটি শীর্ষ উদ্বেগের বিষয়।,バングラデシュ語,N2
,農産物,のうさんぶつ,কৃষি পণ্য,কৃষি পণ্য,কৃষি পণ্য আছে,কৃষি গেট,কৃষি পণ্য,異常気象による農産物の被害が各地で起きている。,অস্বাভাবিক আবহাওয়ায় বিভিন্ন স্থানে কৃষি পণ্যের ক্ষতি হচ্ছে।,バングラデシュ語,N2
,診断,しんだん,রোগ নির্ণয়,জিন সংস্করণ,রোগ নির্ণয়,ক্লাসিক,রোগ নির্ণয়,心の病は病名を診断するのさえ非常に難しい。,মানসিক রোগ নির্ণয় করা অত্যন্ত কঠিন।,バングラデシュ語,N2
,預ける,あずける,আমানত,আমানত,আমি আশা করতে পারি,আপনি তা পেতে পারেন,আমানত,劇場で、大きな荷物や上着をクロークに預ける,থিয়েটারে ক্লোকরুমে বড় লাগেজ এবং জ্যাকেটগুলি রেখে দিন,バングラデシュ語,N2
,利口,りこう,চতুর,স্বার্থ,লাভ,চতুর,চতুর,あの子はいかにも利口そうだ,ছেলেটাকে খুব স্মার্ট মনে হচ্ছে,バングラデシュ語,N2
,研修,けんしゅう,প্রশিক্ষণ,প্রশিক্ষণ,গ্রহণযোগ্যতা পরিদর্শন,জিয়ানঝো,প্রশিক্ষণ,新社員の研修は入社後一カ月行う。,নতুন কর্মচারীরা কোম্পানিতে যোগদানের পর এক মাসের জন্য প্রশিক্ষণ গ্রহণ করে।,バングラデシュ語,N2
,盗まれた,ぬすまれた,চুরি,সরানো,ক্ষমা,চুরি,চুরি,昨夜宝石店で2億円相当の商品が何者かに盗まれた。,"গত রাতে, কেউ একটি গহনার দোকান থেকে 200 মিলিয়ন ইয়েনের আইটেম চুরি করেছে।",バングラデシュ語,N2
,入荷,にゅうか,আগমন,আগমন,তালিকাভুক্তি,স্টক,আগমন,販売日より1日早く、新商品が入荷した,নতুন পণ্য বিক্রির তারিখের এক দিন আগে পৌঁছেছে।,バングラデシュ語,N2
,有無,うむ,উপস্থিতি বা অনুপস্থিতি,নিষ্পাপ,ভাসা,উপস্থিতি বা অনুপস্থিতি,উপস্থিতি বা অনুপস্থিতি,我が社は採用の際、コミュニケーション能力の有無を重視します。,"নিয়োগের সময়, আমাদের কোম্পানি যোগাযোগ দক্ষতার উপর জোর দেয়।",バングラデシュ語,N2
,懐かしくて,なつかしくて,আমি নস্টালজিক অনুভব করি,আমি নস্টালজিক অনুভব করি,কাছাকাছি,বিব্রতকর,আমি নস্টালজিক অনুভব করি,ダブルのスーツはお年寄りには懐かしく、若者の目には新鮮にうつるようだ。,"ডাবল-ব্রেস্টেড স্যুটগুলি বয়স্ক ব্যক্তিদের জন্য নস্টালজিক, তবে তরুণদের কাছে তাজা মনে হয়।",バングラデシュ語,N2
,慰めて,なぐさめて,আমাকে সান্ত্বনা দিন,প্রশান্তি,অসমতে,আমাকে সান্ত্বনা দিন,আমাকে সান্ত্বনা দিন,就職が決まらず落ち込む友人をどう慰めてよいのか、言葉が見つからない。,"আমি আমার বন্ধুকে সান্ত্বনা দেওয়ার শব্দ খুঁজে পাচ্ছি না যে বিষণ্ণ, কারণ সে চাকরি খুঁজে পায় না।",バングラデシュ語,N2
,相続,そうぞく,উত্তরাধিকার,পরিচ্ছদ,উত্তরাধিকার,ও আচ্ছা,উত্তরাধিকার,父親が亡くなり、家や土地などの財産を相続した。,"যখন তার বাবা মারা যান, তিনি উত্তরাধিকার সূত্রে একটি বাড়ি এবং জমির মতো সম্পত্তি পেয়েছিলেন।",バングラデシュ語,N2
,覚えて,おぼえて,মনে রাখবেন,মনে রাখবেন,শিখুন,আমাকে বলুন,মনে রাখবেন,彼女は日本のテレビドラマで、楽しく言葉をおぼえている。,তিনি জাপানি টিভি নাটক থেকে শব্দ শিখতে পছন্দ করেন।,バングラデシュ語,N2
,解答,かいとう,উত্তর,উপযুক্ত,উত্তর,উত্তর,উত্তর,この数学の問題のかいとうがわからないので教えてください,"আমি এই গণিত সমস্যার অর্থ বুঝতে পারছি না, তাই দয়া করে আমাকে সাহায্য করুন।",バングラデシュ語,N2
,乾杯,かんぱい,চিয়ার্স,কানসাই,চিয়ার্স,উত্তেজনা,চিয়ার্স,父の誕生日に家族全員が久しぶりに集まって、ビールでかんぱいした。,"আমার বাবার জন্মদিনে, পুরো পরিবার কিছুক্ষণের মধ্যে প্রথমবারের মতো একত্রিত হয়েছিল এবং বিয়ার পান করে ভাল সময় কাটায়।",バングラデシュ語,N2
,障害,しょうがい,বাধা,বাধা,অক্ষমতা,ভূমিকা,বাধা,夜型の生活をしているうちに睡眠障害になってしまった。,"একটি রাতের পেঁচা হওয়ার ফলে, আমার ঘুমের ব্যাধি তৈরি হয়েছিল।",バングラデシュ語,N2
,相当,そうとう,সমতুল্য,গোলমাল,সাধারণ বিষয়ক,সমতুল্য,সমতুল্য,地球に降る太陽光の1時間のエネルギー量は、人類が1年間に使う量に相当する,সূর্যের আলো পৃথিবীতে এক ঘণ্টায় যে পরিমাণ শক্তি পড়ে তা মানুষ এক বছরে যে পরিমাণ শক্তি ব্যবহার করে তার সমান।,バングラデシュ語,N2
,傾向,かたむき,প্রবণতা,অভিমুখ,প্রবণতা,আকৃতির ইস্পাত,প্রবণতা,少子化が進み、親が先回りして子どもを助ける傾向が強い。,"যেহেতু জন্মহার ক্রমাগত হ্রাস পাচ্ছে, পিতামাতার মধ্যে তাদের সন্তানদের সক্রিয়ভাবে সাহায্য করার প্রবণতা রয়েছে।",バングラデシュ語,N2
,発揮,はっき,প্রদর্শন,প্রদর্শন,ইগনিশন,সমস্যা,প্রদর্শন,人間は困ったことが起きたときのほうが、持っている力を発揮できる。,সমস্যায় পড়লে মানুষ তার শক্তিকে আরও বেশি ব্যবহার করতে সক্ষম হয়।,バングラデシュ語,N2
,強盗,ごうとう,ডাকাতি,না. বু,শক্তিশালী শক্তি,ডাকাতি,ডাকাতি,世界の30カ国近くの国が、国際ごうとう団の被害を受けている。,বিশ্বের প্রায় 30টি দেশ আন্তর্জাতিক সৈন্য দ্বারা প্রভাবিত হয়েছে।,バングラデシュ語,N2
,尽くす,つくす,সবকিছু করো,অন্তর্গত,সবকিছু করো,বান্ডিল অংশ,সবকিছু করো,彼女は好きな相手につくすタイプだ。,তিনি এমন একজন ব্যক্তি যাকে তিনি পছন্দ করেন তার প্রতি নিবেদিতপ্রাণ।,バングラデシュ語,N2
,敬意,けいい,সম্মান,সম্মান,অ্যালার্ম সময়,বিন্যাস,সম্মান,相手の国の文化にけいいを払うことは、国際協力上大切なことだ。,অন্য দেশের সংস্কৃতিকে সম্মান করা আন্তর্জাতিক সহযোগিতার জন্য গুরুত্বপূর্ণ।,バングラデシュ語,N2
,選択,せんたく,পছন্দ,পছন্দ,পুরো ঘর,লন্ড্রি,পছন্দ,ボランティア活動を選択科目に取り入れている大学が多くなっている,আরও বেশি সংখ্যক বিশ্ববিদ্যালয় স্বেচ্ছাসেবক কাজকে একটি নির্বাচনী বিষয় হিসাবে অন্তর্ভুক্ত করছে।,バングラデシュ語,N2
,膨大,ぼうだい,-বিপুল,এটা আমাকে দাও,বিশাল,বিপুল পরিমাণ,বিপুল পরিমাণ,飛行場を建設するには膨大な費用がかかる。,একটি বিমানঘাঁটি তৈরি করতে বিপুল পরিমাণ অর্থ ব্যয় হয়।,バングラデシュ語,N2
,冗談,じょうだん,কৌতুক,টোকিওয়া,কৌতুক,কামিবো,কৌতুক,軽く言ったつもりの冗談が友人を傷つけてしまった。,একটি কৌতুক যা হালকাভাবে নেওয়া উচিত ছিল তা আমার বন্ধুকে আঘাত করেছে।,バングラデシュ語,N2
,奪い,うばい,ডাকাতি,ডাকাতি,এটা ভীতিকর,জিজ্ঞাসা,ডাকাতি,このまま人口が増え続ければ、世界中で食糧や水の奪い合いになるであろう。,এই হারে জনসংখ্যা বাড়তে থাকলে সারা বিশ্বে খাদ্য ও পানির প্রতিযোগিতা হবে।,バングラデシュ語,N2
,性能,せいのう,কর্মক্ষমতা,শোনোউ,কর্মক্ষমতা,সুইনু,কর্মক্ষমতা,最近は防犯性能が高いマンションや住宅を作るさまざまな取り組みが進んでいる。 ,"সম্প্রতি, উচ্চ নিরাপত্তা কর্মক্ষমতা সহ অ্যাপার্টমেন্ট এবং ঘর তৈরি করার জন্য বিভিন্ন প্রচেষ্টা করা হয়েছে।  ",バングラデシュ語,N2
,隠れた,かくれた,গোপন,চমৎকার,ধসে পড়েছে,গোপন,গোপন,あのコーチは選手のかくれた能力を引き出すのがうまい。,সেই কোচ তার খেলোয়াড়দের লুকিয়ে থাকা দক্ষতাগুলোকে বের করে আনতে পারদর্শী।,バングラデシュ語,N2
,系統,けいとう,পদ্ধতি,কোটোবুকি টাওয়ার,পদ্ধতি,হালকা রূপা,পদ্ধতি,火山灰は電気けいとうに入り込みさまざまな誤作動を起こすことがある。,আগ্নেয়গিরির ছাই বৈদ্যুতিক টিউবে প্রবেশ করতে পারে এবং বিভিন্ন ত্রুটির কারণ হতে পারে।,バングラデシュ語,N2
,高層,こうそう,বহুতলবিশিষ্ট ভবন,উচ্চ বিদ্যালয,সিস্টেম তত্ত্ব,বহুতলবিশিষ্ট ভবন,বহুতলবিশিষ্ট ভবন,これから先、都市の建築物はますますこうそう化が進むであろう。,"ভবিষ্যতে, শহুরে ভবনগুলি আরও বেশি পরিশীলিত হয়ে উঠবে।",バングラデシュ語,N2
,解放,かいほう,মুক্তি,মুক্তি,শারীরস্থান,উত্তর,মুক্তি,人間は一生悩むことからかいほうされないのだと思う。,আমি মনে করি লোকেরা তাদের সমস্ত জীবন নিয়ে উদ্বিগ্ন জিনিসগুলি নিয়ে বিরক্ত হয় না।,バングラデシュ語,N2
,至る,いたる,পৌঁছানো,তোউউ,ও আচ্ছা,পৌঁছানো,পৌঁছানো,ロボットは、工場はもちろん国際宇宙ステーションまで、至る所で使われいる。,কারখানা থেকে শুরু করে আন্তর্জাতিক মহাকাশ স্টেশন পর্যন্ত সব জায়গায় রোবট ব্যবহার করা হয়।,バングラデシュ語,N2
,割引,わりびき,ডিসকাউন্ট,ডিসকাউন্ট,দর কষাকষি,ওয়ারিহিকি,ডিসকাউন্ট,10日前までに予約をすると、早期割引で宿泊料金が安くなる。,"আপনি যদি কমপক্ষে 10 দিন আগে একটি রিজার্ভেশন করেন, তাহলে আপনি কম হারে প্রারম্ভিক পাখি ছাড় পাবেন।",バングラデシュ語,N2
,発想,はっそう,ধারণা,হাজউ,হাহাহা দেখুন,ধারণা,ধারণা,机に向かっているときより、散歩中に仕事の発想がわいてくることが多い,আমি প্রায়ই আমার ডেস্কে বসে থাকার চেয়ে হাঁটার সময় কাজের জন্য ধারণা পাই।,バングラデシュ語,N2
,感覚,かんかく,অনুভূতি,কঠোর পরিশ্রম,অনুভূতি,সেচ,অনুভূতি,金銭感覚のなかった父に、母はずっと苦労させられていた。,"আমার বাবার আর্থিক অনুভূতি ছিল না, এবং আমার মা সবসময় একটি কঠিন সময় ছিল।",バングラデシュ語,N2
,吸収,きゅうしゅう,শোষণ,শোষণ,বায়ু স্তন্যপান,রস চোষা,শোষণ,あの子はまるでスポンジのように教えたことはすべてきゅうしゅうする。,সেই শিশুটি একটি স্পঞ্জের মতো এবং আমি তাকে যা শেখাচ্ছি তা গ্রাস করে।,バングラデシュ語,N2
,滞在,たいざい,থাকা,তাইজো,নির্মূল করা,থাকা,থাকা,あの学者は、この島に長期たいざいして、植物の研究をしている,সেই বিজ্ঞানী দীর্ঘদিন ধরে এই দ্বীপে গাছপালা নিয়ে গবেষণা করছেন।,バングラデシュ語,N2
,国旗,こっき,জাতীয় পতাকা,কাক্কি,বাদ্র্যযন্ত্র,জাতীয় পতাকা,জাতীয় পতাকা,弟は世界の国旗に、とても詳しい。,আমার ছোট ভাই পৃথিবীর পতাকা সম্পর্কে খুব জ্ঞানী।,バングラデシュ語,N2
,様々な,さまざまな,বিভিন্ন,বিভিন্ন,তামাযমান,মানুষ,বিভিন্ন,世界には様々な文化がある。,পৃথিবীতে বিভিন্ন সংস্কৃতি রয়েছে।,バングラデシュ語,N2
,世間,せけん,বিশ্ব,নেকেন,বিশ্ব,বীর্য,বিশ্ব,ある事件が世間の注目を集めている。,একটি ঘটনা জনগণের দৃষ্টি আকর্ষণ করে।,バングラデシュ語,N2
,個人情報,こじんじょうほう,ব্যক্তিগত তথ্য,ব্যক্তিগত তথ্য,কুনিকিন কোগি,ব্যক্তিগত জপ্পি,ব্যক্তিগত তথ্য,個人情報は確実に守られるべきだ,ব্যক্তিগত তথ্য সুরক্ষিত করা আবশ্যক,バングラデシュ語,N2
,水準,すいじゅん,স্তর,ঘুম,জলের দেশ,স্তর,স্তর,国民の生活水準は徐々に下がっている。,মানুষের জীবনযাত্রার মান ক্রমেই কমে যাচ্ছে।,バングラデシュ語,N2
,増す,ます,বৃদ্ধি,প্রথম,বৃদ্ধি,ধার দেন,বৃদ্ধি,需要が増せば、物の値段は下がる。,চাহিদা বাড়লে কোনো কিছুর দাম কমবে।,バングラデシュ語,N2
,見解,けんかい,মতামত,মতামত,নির্মাণ সামগ্রী,প্রসিকিউটর,মতামত,首相が日本経済の現状について見解を述べた。,জাপানের অর্থনীতির বর্তমান অবস্থা নিয়ে প্রধানমন্ত্রী তার মতামত ব্যক্ত করেন।,バングラデシュ語,N2
,測定,そくてい,মাপা,মাপা,কাঠের নীচে,তাত্ক্ষণিক বিক্রয়,মাপা,学校で身長と体重を測定した。,স্কুলে উচ্চতা ও ওজন মাপা হয়।,バングラデシュ語,N2
,血圧,けつあつ,রক্তচাপ,রক্তের সময়,রক্তের লেজ,রক্তচাপ,রক্তচাপ,最近、血圧が高い,ইদানীং আমার রক্তচাপ অনেক বেশি।,バングラデシュ語,N2
,手配,てはい,ব্যবস্থা,হ্যান্ড পেমেন্ট,কোণ কাটা,ব্যবস্থা,ব্যবস্থা,旅行会社でホテルと飛行機を手配した。,আমি একটি ট্রাভেল এজেন্সির মাধ্যমে হোটেল এবং ফ্লাইটের ব্যবস্থা করেছি।,バングラデシュ語,N2
,便,びん,ফ্লাইট,পিন,ফ্লাইট,উৎপাদন,ফ্লাইট,出発は午後の便になった,বিকালে বিদায় নিল।,バングラデシュ語,N2
,空席,くうせき,খালি আসন,খালি আসন,ফাঁকা,ইন্ট্রাক্যাভিটারি,খালি আসন,飛行機に空席があって、よかった。,আমি খুশি যে প্লেনে খালি আসন ছিল।,バングラデシュ語,N2
,名所,めいしょ,বিখ্যাত স্থান,মেইজি,বিশেষত্ব,বিখ্যাত স্থান,বিখ্যাত স্থান,観光の名所をガイドブックで調べる。,গাইডবুকগুলিতে পর্যটন আকর্ষণগুলি দেখুন।,バングラデシュ語,N2
,保留,ほりゅう,স্হগিত,গ্যারান্টি,স্হগিত,রিপোর্ট,স্হগিত,この件は、しばらく保留させてください,এই বিষয়টিকে কিছুক্ষণের জন্য আটকে রাখুন।,バングラデシュ語,N2
,資本,しほん,মূলধন,পরীক্ষা,শিহো সংস্করণ,মূলধন,মূলধন,ビジネスマンは体が資本だ。,একজন ব্যবসায়ীর শরীরই তার পুঁজি।,バングラデシュ語,N2
,設定,せってい,বিন্যাস,বিন্যাস,গ্র্যান্ড,জীবন,বিন্যাস,文字の設定を、もう少し大きくする。,ফন্ট সেটিংস একটু বড় করুন।,バングラデシュ語,N2
,,,,,,,,,,,
,,,,,,,,,,,
1,昨日,きのう,গতকাল,গতকাল,বছর,বাঁচতে,গতকাল,,গতকালের জন্য ধন্যবাদ.,バングラデシュ語,N3
2,行列,ぎょうれつ,লাইন,পছন্দ,লাইন,সাংস্কৃতিক,লাইন,日本では駅での整然とした行列を見ることができる,"জাপানে, আপনি স্টেশনগুলিতে ঐতিহ্যগত লাইন দেখতে পারেন।",バングラデシュ語,N3
3,資格,しかく,যোগ্যতা,গুণমান,দ্রুত,যোগ্যতা,যোগ্যতা,就職のためにどんな資格が必要ですか.,চাকরি পেতে আমার কী কী যোগ্যতা থাকতে হবে?,バングラデシュ語,N3
