ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
15,目上,めうえ,वरिष्ठ,वरिष्ठ,थिच्नुहोस्,पछ्याउन,वरिष्ठ,目上の人に対しては敬語で話す必要があります。,माथिल्लो व्यक्तिसँग सम्मानपूर्वक कुरा गर्न आवश्यक छ।,ネパール語,N2
16,敬意,けいい,सम्मानको भावना,सम्मानको भावना,प्रिमियम,श्रेणी,सम्मानको भावना,その若者は年配者に敬意を持って話します。,जवान मानिस वृद्धवृद्धालाई आदरपूर्वक बोल्छ।,ネパール語,N2
17,敬う,うやまう,सम्मान,साथी,भरोसा,सम्मान,सम्मान,自分の先輩である人を心から尊敬します。,म मेरा वरिष्ठहरूलाई हृदयदेखि नै सम्मान गर्छु।,ネパール語,N2
18,信頼,しんらい,भरोसा,संवेदना,भरोसा,समस्या,भरोसा,私はその先輩は信頼できると信じています。,वरिष्ठलाई विश्वास गर्न सकिन्छ भन्ने मलाई लाग्छ ।,ネパール語,N2
19,反論,はんろん,तर्क गर्नुहोस्,भन्नुहोस्,तर्क गर्नुहोस्,भरोसा,तर्क गर्नुहोस्,私は会社のために上司の意見に反論した。,मैले कम्पनीको तर्फबाट मेरो मालिकको विचारको बिरूद्ध तर्क गरें।,ネパール語,N2
20,わびる,わびる,माफी माग्नुहोस्,पछ्याउन,माफी माग्नुहोस्,गल्ती,माफी माग्नुहोस्,仕事のミスを上司にわびた。,मैले काममा मेरो गल्तीको लागि मेरो मालिकसँग माफी मागेँ।,ネパール語,N2
21,押し付ける,おしつける,थिच्नुहोस्,थिच्नुहोस्,सही,सल्लाह,थिच्नुहोस्,先輩同僚が私に課題を押し付けた。,एकजना वरिष्ठ सहकर्मीले मेरो लागि एउटा कार्यलाई धक्का दिए।,ネパール語,N2
22,やる気,やるき,उत्सुकता ,उत्सुकता ,कर्मचारी,अनुभवी,उत्सुकता ,私は上司に熱意を示し、そのプロジェクトに参加することができました。,मैले मेरो मालिकलाई मेरो उत्साह देखाएँ र परियोजनामा ​​सामेल हुन सक्षम भएँ।,ネパール語,N2
23,苦痛,くつう,दुखाइ,दुखाइ,तनावपूर्ण,चित्रकार,दुखाइ,毎日残業するのは苦痛だ。,हरेक दिन ओभरटाइम काम गर्नु पीडादायी हुन्छ।,ネパール語,N2
24,立ち上げる,たちあげる,सुरु गर्नुहोस्,सुरु गर्नुहोस्,कम्पनी,जागिरहरू,सुरु गर्नुहोस्,退職して、自分の会社を立ち上げた。,जागिर छाडेर आफ्नै कम्पनी सुरु गरें ।,ネパール語,N2
25,試みる,こころみる,प्रयास,काम,प्रयास,अवसर,प्रयास,来年、独立を試みるつもりだ。,अर्को वर्ष आत्मनिर्भर बन्ने प्रयास गर्नेछु ।,ネパール語,N2
26,敷金,しきん,जम्मा,खर्च,जम्मा,भाडामा,जम्मा,このアパーとはかりる時に敷金が必要だ。,तपाईंले यो अपार्टमेन्ट मापन गर्दा एक सुरक्षा जम्मा आवश्यक छ।,ネパール語,N2
27,更新,こうしん,नवीकरण,कम्पनी,घर,नवीकरण,नवीकरण,ここに住んで2年経ったので、もうすぐ更新だ。,"म यहाँ २ वर्षदेखि बसेको छु, त्यसैले यो अपडेटको लागि समय हो।",ネパール語,N2
28,賃貸,ちんたい,भाडा,ऋण,भाडा,घर,भाडा,去年から賃貸のアパートに住んでいる。,म गत वर्षदेखि भाडाको अपार्टमेन्टमा बस्दै आएको छु।,ネパール語,N2
29,マイホーム,マイホーム,मेरो घर,मेरो घर,विद्यालय,अस्पताल,मेरो घर,日本でマイホームを買うのが夢だ。,मेरो सपना जापानमा आफ्नै घर किन्ने हो ।,ネパール語,N2
30,洗面所,せんめんじょ,नुहाउने कोठा,ढोका,नुहाउने कोठा,साबुन,नुहाउने कोठा, この家にはせんめんじょに洗濯機を置くスペースがある。,यस घरमा एउटा ठाउँ छ जहाँ तपाईं धुने मेसिन राख्न सक्नुहुन्छ।,ネパール語,N2
31,物置,ものおき,भण्डारण,भण्डारण,पसलहरू,फ्लिमहल,भण्डारण,使わない物は物置に入れておく。,तपाईंले प्रयोग नगर्ने चीजहरू भण्डारणमा राख्नुहोस्।,ネパール語,N2
32,空間,　くうかん,स्पेस,लोड,छत,स्पेस,स्पेस,この部屋は、空間を広く見せる工夫している。,यो कोठा स्पेस फराकिलो बनाउन को लागी डिजाइन गरिएको छ।,ネパール語,N2
33,頑丈な,がんじょうな,बलियो,कमजोर,बलियो,बलियो,बलियो,うちは頑丈なので、地震が起きても大丈夫だ。,"हाम्रो घर बलियो छ, त्यसैले भूकम्प गए पनि ठीक हुन्छ ।",ネパール語,N2
34,点検,てんけん,मर्मतसम्भार,ध्वनि,मर्मतसम्भार,जोखिम,मर्मतसम्भार,今日はマンションのエレベーターが点検中で、動かない。,"आज, अपार्टमेन्ट लिफ्ट निरीक्षण अन्तर्गत छ र काम गर्दैन।",ネパール語,N2
35,物音,ものおと,ध्वनि,ध्वनि,चेक-अप,स्थान,ध्वनि,上の部屋で大きな物音がする。,म माथिको कोठामा ठूलो आवाज सुन्छु।,ネパール語,N2
36,停止,ていし,रोक,दौडिरहेको,रोक,बलियो,रोक,今日、エレベーターが停止している。,लिफ्ट आज सेवा बन्द छ।,ネパール語,N2
37,警備,けいび,सुरक्षा,युद्ध,न्यानोपन,सुरक्षा,सुरक्षा,このマンションは警備が厳しい。,यस अपार्टमेन्टमा सुरक्षा कडा छ।,ネパール語,N2
38,収入,しゅうにゅう,आम्दानी,कम्पनी,आम्दानी,जागिरहरू,आम्दानी,アルバイト生活なので、毎月の収入が違う。,"किनकि म पार्टटाइम काम गर्छु, मेरो मासिक आम्दानी फरक छ।",ネパール語,N2
39,ごく,ごく,धेरै,धेरै,छत,भुइँ,धेरै,ごくわずかだが、給料が上がった。,तलबमा थोरै वृद्धि।,ネパール語,N2
40,出費,しゅっぴ,खर्च,पार्क,बैंक,खर्च,खर्च,一人暮らしは出費が多くて、多変だ。,एक्लै बस्नु महँगो र विविध छ।,ネパール語,N2
41,税金,ぜいきん,करहरू,ऋण,नगद,करहरू,करहरू,市役所から税金の支払い通知通知が来た。,मैले नगर सभाबाट कर भुक्तानी सूचना प्राप्त गरें।,ネパール語,N2
42,納める,おさめる,तिर्नुहोस्,जागिर,खर्च,तिर्नुहोस्,तिर्नुहोस्,私は税金、きちんと納めている。,म मेरो कर सही रूपमा तिर्छु।,ネパール語,N2
43,含む,ふくむ,समावेश,समावेश,भुक्तानी,आम्दानी,समावेश,税込価格は消費税を含む。,कर समावेशी मूल्यमा उपभोग कर समावेश छ।,ネパール語,N2
44,公共料金,こうきょうりょうきん,उपयोगिता शुल्कहरू,खर्च,उपयोगिता शुल्कहरू,नगद,उपयोगिता शुल्कहरू,日本の公共料金は私の国よりずっと高い。,जापानमा सार्वजनिक उपयोगिता बिलहरू मेरो देशको भन्दा धेरै बढी छन्।,ネパール語,N2
45,支払い込む　,はらいこむ,भुक्तानी गर्नु,भुक्तानी गर्नु,नगद,बैंक,भुक्तानी गर्नुहोस्,商品の代金をコンビニのATMで払い込んだ。,मैले सुविधा स्टोर एटीएममा उत्पादनको लागि भुक्तानी गरें।,ネパール語,N2
46,引き落とし,ひきおとし,फिर्ता,शुल्क,फिर्ता,दायित्वहरू,फिर्ता,光熱費は銀行の引き落としにしている。,युटिलिटी बिलहरू बैंकबाट निकालिन्छन्।,ネパール語,N2
47,手数料,てすうりょう,शुल्क,शुल्क,बिलहरू,ऋण,शुल्क,"この時間にATMを利用すると,手数料がかかる。","यदि तपाइँ यस समयमा ATM प्रयोग गर्नुहुन्छ भने, तपाइँलाई शुल्क लगाइनेछ।",ネパール語,N2
48,出し入れ(する),だしいれ(する),जम्मा र निकासी,निक्षेप,जम्मा र निकासी,आवाज,जम्मा र निकासी, 銀行預金の出し入れは、コンビニでもできる。,बैंक निक्षेपहरू सुविधा स्टोरहरूमा निकाल्न सकिन्छ।,ネパール語,N2
49,残高　,ざんだか,सन्तुलन,सन्तुलन,बैंक,रोकथाम,सन्तुलन,時々銀行の残高をチェックする。,समय समयमा आफ्नो बैंक ब्यालेन्स जाँच गर्नुहोस्।,ネパール語,N2
50,求人,きゅうじん,रोजगार अधिकारीहरू,भाडामा,रोजगार अधिकारीहरू,साथी,रोजगार अधिकारीहरू,求人のサイトをチェックする。,काम साइटहरू जाँच गर्नुहोस्।,ネパール語,N2
51,志望,しぼう,इच्छा,इच्छा,न्यानोपन,भन्नुहोस्,इच्छा,A社の営業を志望している。,म कम्पनी ए मा काम गर्न चाहान्छु।,ネパール語,N2
52,エントリー,エントリー,निवेदन गर्नु,कर्मचारी,निवेदन गर्नु,तालिम,निवेदन गर्नु,いつかの企業にエントリーした。,मैले केही कम्पनीहरूमा प्रवेश गरें।,ネパール語,N2
53,携わる,たずさわる,संलग्न हुनुहोस्,संलग्न हुनुहोस्,फाइदा,निवेदन गर्नु,संलग्न हुनुहोस्, 福祉の仕事に携わりたい。,म कल्याणकारी कार्यमा संलग्न हुन चाहन्छु।,ネパール語,N2
54,生かす,いかす,फाइदा लिनुहोस्,काम,फाइदा लिनुहोस्,रोजगारी,फाइदा लिनुहोस्,専門が生かせる仕事をしたい。,म एउटा काम गर्न चाहन्छु जहाँ म मेरो विशेषज्ञताको उपयोग गर्न सक्छु।,ネパール語,N2
55,貴社,きしゃ,आफ्नै कम्पनी,आफ्नै कम्पनी,काम,प्रेरणा,आफ्नै कम्पनी,"ぜひ,貴社で働かせていただきたいです。",म तपाईको कम्पनीको लागि काम गर्न चाहन्छु।,ネパール語,N2
56,御中,おんちゅう,तपाईको कम्पनी,विभाग,मेरो घर,तपाईको कम्पनी,तपाईको कम्पनी,会社への手紙には会社名後に御中と書く。,"कम्पनीलाई लेख्दा, कम्पनीको नाम लेखेपछि कम्पनीलाई ""on-chu"" भनेर सम्बोधन गर्नुहोस्।",ネパール語,N2
56,動機,どうき,उद्देश्य,उद्देश्य,सपना,म्याद समाप्ति,उद्देश्य,面接で志望の動機をうまく伝える。,अन्तर्वार्तामा कम्पनीमा आवेदन दिनको लागि आफ्नो मनसाय स्पष्ट रूपमा व्यक्त गर्नुहोस्।,ネパール語,N2
57,熱意,ねつい,उत्साह,खुशी,उत्साह,रमाइलो,उत्साह,面接では入社したいという熱意を見せた。,मैले अन्तर्वार्तामा कम्पनीमा काम गर्ने मेरो उत्साह देखाएँ।,ネパール語,N2
58,学歴,がくれき,शैक्षिक पृष्ठभूमि,पुन: सुरु गर्नुहोस्,शैक्षिक पृष्ठभूमि,कागजात,शैक्षिक पृष्ठभूमि,履歴書に学歴や資格を見せた。,तपाईंले पढ्नुभएको विद्यालयहरू र तपाईंको रिज्युमेमा तपाईंको कुनै पनि प्रमाणीकरण लेख्नुहोस्।,ネパール語,N2
59,制限,せいげん,सीमा,सीमा,विज्ञापन,उत्साह,सीमा,求人票には年齢制限は書かれていません。,जागिरको विज्ञापनमा उमेरको सीमा लेखिएको छैन।,ネパール語,N2
60,購入,こうにゅう,खरिद गर्नुहोस्,गन्तव्य,समृद्धि,खरिद गर्नुहोस्,खरिद गर्नुहोस्,重たい物はインターネットで購入する,म इन्टरनेटमा भारी चीजहरू किन्छु।,ネパール語,N2
61,買い得,かいどく,बार्गेनहरू,दिशा,बार्गेनहरू,सोधपुछ,बार्गेनहरू,スーパーのお買い得商品を毎日チェックしている。,म हरेक दिन सुपरमार्केटमा सौदा उत्पादनहरू जाँच गर्छु।,ネパール語,N2
62,手頃な,てごろな,किफायती,किफायती,द्रुत,तालिका,किफायती,"あの店には,学生に手頃な値段の物がたくさんある。",त्यो पसलमा धेरै वस्तुहरू छन् जुन विद्यार्थीहरूको लागि सस्तो छन्।,ネパール語,N2
63,標準,ひょうじゅん,मान(standard),पास,मान(standard),अनुपस्थिति,मानक,標準的な体重なのに、太っていると悩む女性が多い。,धेरै महिलाहरू सामान्य तौलमा भए पनि आफ्नो तौल बढी भएको चिन्ता गर्छन्।,ネパール語,N2
64,攻防,こうぼう,अपराध र रक्षा,अपराध र रक्षा,पेडल ट्रेन,प्रश्न,अपराध र रक्षा,国会では、与党と野党の攻防が続いている。,डाइटमा सत्तारुढ दल र प्रतिपक्षबीचको लडाइँ जारी छ ।,ネパール語,N2
65,詳しい,くわしい,विवरणहरू,लगातार,प्रदान गरियो,विवरणहरू,विवरणहरू,人間ドックは医師から1対1で検査結果の詳しい説明が受けられる。,"पूर्ण चिकित्सा जाँचको क्रममा, तपाइँ एक-एक आधारमा एक डाक्टरबाट परीक्षण परिणामहरूको विस्तृत व्याख्या प्राप्त गर्न सक्नुहुन्छ।",ネパール語,N2
66,欠陥,けっかん,दोष,विधि,दोष,थप,दोष,大学生の学力低下の原因は人試割度の欠陥だと主張する人は多い。,धेरैले विश्वविद्यालयका विद्यार्थीहरूको शैक्षिक प्रदर्शन घट्नुको कारण मानवीय परीक्षा प्रणालीको त्रुटि रहेको तर्क गर्छन्।,ネパール語,N2
67,立て看板,たてかんばん,खडा साइनबोर्ड,खडा साइनबोर्ड,जोड,बहुमूल्य,खडा साइनबोर्ड,国道治いの立て看板にはかなりの広告効果があり。,राष्ट्रिय राजमार्ग निको पार्नको लागि बिलबोर्डमा उल्लेखनीय विज्ञापन प्रभाव छ।,ネパール語,N2
68,揺らぐ,ゆらぐ,ठेल्नु,यातायात,सुझाव,ठेल्नु,ठेल्नु,受験する大学を決めたものの、これで本当にいいのかと気持ちが揺らぐ。,"यद्यपि उनले आफूले आवेदन दिने विश्वविद्यालयमा निर्णय गरिसकेका छन्, तर यो वास्तवमै उनको लागि सही छनोट हो कि भनेर उनी निश्चित छैनन्।",ネパール語,N2
69,予期,よき,प्रत्याशा,होल्ड गर्नुहोस्,प्रत्याशा,यसबाहेक,प्रत्याशा,人生は予期せぬことの連続なんだから、あまりくよくよしないほうがいいよ。,"जीवन अप्रत्याशित चीजहरूले भरिएको छ, त्यसैले यो धेरै बास नगर्नु राम्रो हो।",ネパール語,N2
70,濃くて,こくて,अँध्यारो छ,घोषणा,अँध्यारो छ,माफी माग्यो,अँध्यारो छ,この本は内容が濃くて満足した。,यो पुस्तक सामग्रीमा धनी थियो र म सन्तुष्ट थिएँ।,ネパール語,N2
71,狙い,ねらい,उदेश्य,स्थगित,उदेश्य,हुनु पर्छ,उदेश्य,地雷は長期にわたって無差別に人々を狙い続ける、恐ろしい兵器だ。,ल्यान्डमाइनहरू डरलाग्दो हतियार हुन् जसले मानिसहरूलाई लामो समयसम्म अन्धाधुन्ध रूपमा लक्षित गरिरहन्छ।,ネパール語,N2
72,途中,とちゅう,मध्य,निलम्बन,मध्य,माफ गर्नुहोस्,मध्य,帰宅途中にバイクに乗った男にバイクをひったくられた。,घर जाँदै गर्दा साइकलमा आएका एक व्यक्तिले मेरो बाइक खोसे।,ネパール語,N2
73,入荷,にゅうか,आगमन,सञ्चालनहरू,सेवा,आगमन,आगमन,発売日より1日早く、新商品が入荷した。,नयाँ उत्पादनहरू रिलीज मिति भन्दा एक दिन पहिले आइपुगे।,ネパール語,N2
74,有無,うむ,उपस्थिति वा अनुपस्थिति,उपस्थिति वा अनुपस्थिति,उत्पादन,भयानक,उपस्थिति वा अनुपस्थिति,我が社は採用の際、コミュニケーション能力の有無を重視します。,"भर्ती गर्दा, हाम्रो कम्पनीले संचार कौशलमा जोड दिन्छ।",ネパール語,N2
75,懐かしい,なつかしい,उदासीन,फेरि शुरु गर्नु,सुधारिएको,उदासीन,उदासीन,ダブルのスーツはお年寄りには懐かしく、若者の目には新鮮にうつるようだ。,"डबल-ब्रेस्टेड सूटहरू वृद्ध व्यक्तिहरूको लागि उदासीन हुन्छन्, तर युवाहरूलाई ताजा देखिन्छ।",ネパール語,N2
76,慰めて,なぐさめて,आराम,पुन: सुरु गर्नुहोस्,विकास,आराम,आराम,就職が決まらず落ち込む友人をどう慰めてよいのか、言葉が見つからない。,जागिर नपाएको कारण निराश भएको मेरो साथीलाई सान्त्वना दिने शब्द मैले भेट्टाउन सकिन।,ネパール語,N2
77,相続,そうぞく,उत्तराधिकार,इजाजतपत्र,भवन,उत्तराधिकार,उत्तराधिकार,父親が亡くなり、家や土地などの財産を相続した。,बुबाको निधन भएपछि उनले घर र जग्गाजस्ता सम्पत्ति प्राप्त गरे ।,ネパール語,N2
78,対照,たいしょう,विपरीत,विपरीत,उद्योग,फरक,विपरीत,あの2人の作家の作品は対照的である。,ती दुई लेखकका कार्यहरू भिन्न छन्।,ネパール語,N2
79,覚えて,おぼえて,सम्झनु,चिल्लो,सम्झनु,अर्थहरू,सम्झनु,彼女は日本のテレビドラマで、楽しく言葉を覚えている。,उनी जापानी टिभी नाटकहरूबाट शब्दहरू सिक्न रमाइलो गर्छिन्।,ネパール語,N2
80,解答,かいとう,जवाफ,धाराप्रवाह,किसानहरू,जवाफ,जवाफ,この数学の問題の解答がわからないので、教えてください。,"मलाई यो गणित समस्याको उत्तर थाहा छैन, त्यसैले कृपया मलाई थाहा दिनुहोस्।",ネパール語,N2
81,乾杯,かんぱい,जय हो,ठाउँ,जय हो,भोक,जय हो,父の誕生日に家族全員が久しぶりに集まって、ビールで乾杯した。,"मेरो बुबाको जन्मदिनमा, सम्पूर्ण परिवार केही समय पछि पहिलो पटक भेला भए र बियरको साथ टोस्ट गरे।",ネパール語,N2
82,逆らえず,さからえず,प्रतिरोध गर्न नसक्नु,प्रतिरोध गर्न नसक्नु,माग,सम्भावना,प्रतिरोध गर्न सक्दैन,時代の流れには逆らえず、公衆（こうしゅう）電話の数が減ってる。,समयको चलन विपरीत जान नसकेपछि सार्वजनिक टेलिफोनको संख्या घट्दै गएको छ ।,ネパール語,N2
83,障害,しょうがい,बाधा,सावधानीपूर्वक,बाधा,स्पष्ट रूपमा,बाधा,夜型の生活をしているうちに睡眠障害になってしまった。,"राती उल्लू भएको कारण, मैले निद्राको विकार विकसित गरे।",ネパール語,N2
84,相当,そうとう,बराबर,आराम गर्नुहोस्,बराबर,प्रविधि,बराबर,地球に降る太陽光の1時間のエネルギー量は、人数が1年間に使う量に相当する。,सूर्यको किरण पृथ्वीमा एक घण्टामा झर्ने ऊर्जाको मात्रा एक वर्षमा एक व्यक्तिले प्रयोग गरेको ऊर्जा बराबर हुन्छ।,ネパール語,N2
85,傾向,けいこう,प्रवृत्ति,उत्पादन,प्रवृत्ति,व्यक्त,प्रवृत्ति,少子化が進み、親が先回りして子どもを助ける傾向が強い。,"जन्मदर घट्दो क्रममा रहेकाले, अभिभावकहरूमा आफ्ना बालबालिकालाई सक्रिय रूपमा मद्दत गर्ने प्रवृति छ।",ネパール語,N2
86,磨き,みがき,पोलिश,प्रावधान,पोलिश,विकसित,पोलिश,私は自分の長所を磨き続ければ必ず成功すると信じている。,"मलाई विश्वास छ कि यदि तपाईंले आफ्नो शक्तिलाई निरन्तरता दिनुभयो भने, तपाईं निश्चित रूपमा सफल हुनुहुनेछ।",ネパール語,N2
87,発揮,はっき,प्रदर्शन,खेती,घट्नु,प्रदर्शन,प्रदर्शन,人間は困ったことが起きたときの方が、持っている力を発揮できる。,समस्याको सामना गर्दा मानिसहरूले आफ्नो शक्तिलाई बढी प्रयोग गर्न सक्षम हुन्छन्।,ネパール語,N2
88,強盗,ごうとう,डकैती,किसान,विदेशी,डकैती,डकैती,世界の30カ国近くの国が、国際強盗団の被害を受けている。,विश्वका करिब ३० देश अन्तर्राष्ट्रिय डकैती समूहबाट प्रभावित छन्।,ネパール語,N2
89,被害,ひがい,क्षति,क्षति,विश्वविद्यालय,यात्रा,क्षति,世界の30カ国近くの国が、国際強盗団の被害を受けている。,विश्वका करिब ३० देश अन्तर्राष्ट्रिय डकैती समूहबाट प्रभावित छन्।,ネパール語,N2
90,衝突,しょうとつ,टक्कर,मत्स्य पालन,टक्कर,बजेट,टक्कर,衝突直前で自動的にブレーキがかかって停止する車が開発された。,एक कार विकसित गरिएको छ जसले स्वचालित रूपमा ब्रेक लागू गर्दछ र ठोक्किनु अघि तुरुन्तै रोकिन्छ।,ネパール語,N2
91,標準,ひょうじゅん,सामान्य ,सामान्य ,शब्दावली,सन्दर्भ,सामान्य ,標準的な体重なのに、太っていると悩む女性が多い。,धेरै महिलाहरू सामान्य तौलमा भए पनि आफ्नो तौल बढी भएको चिन्ता गर्छन्।,ネパール語,N2
92,攻防,こうぼう,अपराध र रक्षा,लेनदेन,अपराध र रक्षा,प्रतिबिम्ब,अपराध र रक्षा,国会では、与党と野党の攻防が続いている。,डाइटमा सत्तारुढ दल र प्रतिपक्षबीचको लडाइँ जारी छ ।,ネパール語,N2
93,詳しい,くわしい,विस्तृत व्याख्या,यातायात,सिलेबिकेसन,विस्तृत व्याख्या,विस्तृत व्याख्या,人間ドックは医師から1対1で検査結果の詳しい説明が受けられる。,"पूर्ण चिकित्सा जाँचको क्रममा, तपाइँ एक-एक आधारमा एक डाक्टरबाट परीक्षण परिणामहरूको विस्तृत व्याख्या प्राप्त गर्न सक्नुहुन्छ।",ネパール語,N2
94,欠陥,けっかん,त्रुटि,उद्योग,त्रुटि,उत्तराधिकार ,त्रुटि,大学生の学力低下の原因は入試割度の欠陥だと主張する人は多い。,धेरैले विश्वविद्यालयका विद्यार्थीहरूको शैक्षिक प्रदर्शन घट्नुको कारण प्रवेश परीक्षा प्रणालीको त्रुटि रहेको तर्क गर्छन्।,ネパール語,N2
95,立て看板,たてかんばん,साइनबोर्ड,अध्ययन,बारम्बार,साइनबोर्ड,साइनबोर्ड,国道沿いの立て看板にはかなりの広告効果がある。,राष्ट्रिय राजमार्गहरूका बिलबोर्डहरूमा उल्लेखनीय विज्ञापन प्रभाव छ।,ネパール語,N2
96,揺らぐ,ゆらぐ,आश्चर्य,परीक्षा,आश्चर्य,स्वीकार,आश्चर्य,受験する大学を決めたものの、これで本当にいいのかと気持ちが揺らぐ。,"यद्यपि उनले आफूले आवेदन दिने विश्वविद्यालयमा निर्णय गरिसकेका छन्, तर यो वास्तवमै उनको लागि सही छनोट हो कि भनेर उनी निश्चित छैनन्।",ネパール語,N2
97,予期せぬ,よきせぬ,अप्रत्याशित,अप्रत्याशित,राजनीति,प्रोत्साहन ,अप्रत्याशित,人生は予期せぬことの連続なんだから、あまりよくよしないほうがいいよ。,"जीवन अप्रत्याशित चीजहरूले भरिएको छ, त्यसैले चीजहरूलाई धेरै गम्भीरतापूर्वक नलिनु राम्रो हो।",ネパール語,N2
98,濃くて,こくて,विभिन्न प्रकार,प्रतिस्पर्धा,विभिन्न प्रकार,उद्यम,विभिन्न प्रकार,この本は内容が濃くて満足した。,यो पुस्तक सामग्रीमा धनी थियो र म सन्तुष्ट थिएँ।,ネパール語,N2
99,狙い,ねらい,उदेश्य,व्यक्तित्व,सौन्दर्य,उदेश्य,उदेश्य,地雷は長期にわたって無差別に人々を狙い続ける、恐ろしい兵器だ。,ल्यान्डमाइनहरू डरलाग्दो हतियार हुन् जसले मानिसहरूलाई लामो समयसम्म अन्धाधुन्ध रूपमा लक्षित गरिरहन्छ।,ネパール語,N2
100,記事,きじ,लेख,ऊर्जा,लक्षणहरू,सञ्चार,लेख,おもしろい記事が地方紙に載っていた。,स्थानीय पत्रिकामा एउटा रोचक लेख प्रकाशित भयो।,ネパール語,N2
101,手がふさがる,てがふさがる,व्यस्त,अर्थ,व्यस्त,प्रवृत्ति,व्यस्त,今手がふさがっているので、後でお手伝いします。,"म अहिले व्यस्त छु, त्यसैले म तपाईंलाई पछि मद्दत गर्नेछु।",ネパール語,N2
102,手が空く,てがあく,खाली समय,नि:शुल्क,स्वाद,खाली समय,खाली समय,手が空いたので、何かお手伝いしましょうか。,"म खाली छु, त्यसैले म तपाईंलाई कसरी मद्दत गर्न सक्छु?",ネパール語,N2
103,手に入れる,てにいれる,प्राप्त गर्नु,प्राप्त गर्नु,उल्लेख,सावधान,प्राप्त गर्नु,ずっと欲しかったバッグを手に入れた。,मैले सधैं चाहेको झोला पाएँ।,ネパール語,N2
104,口が滑る,くちがすべる,जिब्रो  चिप्लीनु,गोप्य,जिब्रो  चिप्लीनु,भीड,जिब्रो  चिप्लीनु,つい口が滑って、友達の秘密（ひみつ）を話してしまった。,मैले संयोगवश मेरो जिब्रो चिप्लिएँ र मेरो साथीको रहस्य भनें।,ネパール語,N2
105,口に合う,くちにあう,मिठो स्वाद ,साथी,व्यक्त,मिठो स्वाद ,मिठो स्वाद ,日本料理は外国からの客の口に合ったようだ。,जापानी खाना विदेशी ग्राहकहरूको स्वाद अनुरूप देखिन्छ।,ネパール語,N2
