,  言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,
39,救助,きゅうじょ,उद्धार गर्नु,,रिसाइर,रिटर,उद्धार गर्नु,"事故の被害者,すぐに救助された。",दुर्घटनामा परी घाइते भएकाको तत्काल उद्धार गरिएको थियो ।,ネパール語,N2
40,貢献,こうけん,योगदान गर्नुहोस्,साहासी,नियन्त्रण,योगदान गर्नुहोस्,योगदान गर्नुहोस्,ボランティアとして社会に貢献したい。,म स्वयंसेवा गरेर समाजमा योगदान गर्न चाहन्छु ।,ネパール語,N2
41,大家,おおや,घरधनी,बिल,घरधनी,लेजर,घरधनी,"私のアパートの大家さんは,とても親切な人だ。",मेरो अपार्टमेन्ट घरमालिक धेरै दयालु हुनुहुन्छ।,ネパール語,N2
42,再会,かいさい,पुनर्मिलन,विछोड,सेवानिवृत्त,पुनर्मिलन,पुनर्मिलन,以前お世話になった人に再会した。,म एक व्यक्तिसँग पुनर्मिलन भयो जो पहिले मलाई धेरै राम्रो थियो,ネパール語,N2
43,同士,どうし,एक अर्का,मिलन,अलग,एक अर्का,एक अर्का,恋人同士が見つめ合う。,प्रेमीहरू एकअर्कालाई हेर्छन्।,ネパール語,N2
44,運命,うんめい,नियति,मन,नियति,ढिला,नियति,"彼女こそ,僕の運命の人だ.",उनी मेरो आत्मीय साथी हुन्।,ネパール語,N2
45,避ける,さける,बच्नुहोस्,मर्नु,डिमाइन,बच्नुहोस्,बच्नुहोस्,"わたしは彼のようなタイプが苦手で,つい避けてしまう。",म उहाँजस्ता मानिसहरूसँग राम्रो छैन र त्यस्ता मानिसहरूलाई टाढै बस्छु।,ネパール語,N2
46,人柄,ひとがら,व्यक्तित्व,व्यवहार,व्यक्तित्व,व्यक्तिगत,व्यक्तित्व,"彼は人柄がよく,友達がとても多い。",उहाँ राम्रो स्वभावको हुनुहुन्छ र धेरै साथीहरू छन्।,ネパール語,N2
47,謙虚な,けんきょな,नम्र,किताब,हेटिरे,नम्र,नम्र,わたしの上司は誰に対しても謙虚だ。,मेरो मालिक कसैप्रति नम्र छ।,ネパール語,N2
48,一家,いっか,परिवार,परिवार,ज्वरो,प्वाँख,परिवार,兄が私達一家を支えてくれている。,मेरो जेठो भाइले परिवारलाई सपोर्ट गर्छ।,ネパール語,N2
49,向き合う,むきあう,अनुहार,मुख,खुट्टा,अनुहार,अनुहार,家族みんなで問題に向き合っている。,हामी परिवारको रूपमा समस्याको सामना गर्ने प्रयास गरिरहेका छौं।,ネパール語,N2
50,養う,やしなう,प्रदान गर्नुहोस्,आदार,प्राथमिकता,प्रदान गर्ने,प्रदान गर्ने,父は一生懸命に働いて、家族を養っている。,मेरो बुबाको शब्द परिवारको लागि प्रदान गर्न गाह्रो छ।,ネパール語,N2
51,言いつける,いいつける,बताउनुहोस्,गर्नुहोस,बताउनुहोस्,टिटर,बताउनुहोस्,兄は妹のいたずらを母に言いつけた。,मेरो ठुलो भाइले आफ्नी आमालाई आफ्ना साना बहिनीहरूको मजाकको बारेमा भने।,ネパール語,N2
52,自立,じりつ,स्वतन्त्रता,स्वतन्त्रता,विस्तार,इन्डोर,स्वतन्त्रता,兄に自立して、一人暮らしをしている。,मेरो ठुलो भाइ घर छोडेर एक्लै बसेको छ।,ネパール語,N2
53,尊重,そんちょう,सम्मान,हेला,अनादर,सम्मान,सम्मान,両親はいつも、私の意見を尊重してくれる。,मेरा आमाबाबुले सधैं मेरो विचारलाई आदर गर्नुहुन्छ।,ネパール語,N2
53,購入,こうにゅう,खरिद गर्नुहोस्,बेच्नुहोस्,किनेको,खरिद गर्नुहोस्,खरिद गर्नुहोस्,重たい物はインターネットで購入する。,भारी वस्तुहरू अनलाइन किन्नुहोस्।,ネパール語,N2
54,返品,へんぴん,फर्काउँछ,दिइएको,फर्काउँछ,बिक्रेता,फर्काउँछ,ネットの写真と違う商品が届いたので、返品した。,मैले उत्पादन फिर्ता गरें किनभने मैले प्राप्त गरेको उत्पादन इन्टरनेटमा चित्रित भन्दा फरक थियो।,ネパール語,N2
55,返金,へんきん,भुक्तानी,भुक्तानी,पैसा,मिश्रण,भुक्तानी,商品の代金は返金してもらえたが、手数料をとられた。,"मैले उत्पादनको लागि मेरो पैसा फिर्ता लिन सक्षम भएँ, तर मलाई ह्यान्डलिंग शुल्क लगाइयो।",ネパール語,N2
56,価格,かかく,मूल्य,पिलर,पर्स,मूल्य,मूल्य,二つのスーパー価格の競争をしている。,दुई सुपरमार्केटहरू मूल्यमा प्रतिस्पर्धा गर्दै छन्।,ネパール語,N2
57,名物,めいぶつ,विशेषता,भर्नुहोस्,पूर्ण रूपमा,विशेषता,विशेषता,最近は、地方の名物がネットで買える。,"यी दिनहरू, तपाइँ स्थानीय विशेषताहरू अनलाइन किन्न सक्नुहुन्छ।",ネパール語,N2
58,試食,ししょく,चाख्दै,स्वाद,चाख्दै,राम्रो,चाख्दै,デパートで試食から、お菓子を買った。,मैले डिपार्टमेन्ट स्टोरमा केही मिठाईको नमूना लिएँ र केही मिठाईहरू किनें।,ネパール語,N2
59,過去,かこ,विगत,विगत,उपस्थित,भविष्य,विगत,過去は忘れて、未来に向かって進もう。,विगतलाई बिर्सेर भविष्यतिर लागौँ ।,ネパール語,N2
60,周囲,しゅうい,परिधि,गोलाकार,परिधि,सेवानिवृत्त,परिधि,朝ご飯の前に、家の周囲を犬と散歩する。,"बिहानको खाजा अघि, म मेरो कुकुरलाई घर वरिपरि घुम्न लैजान्छु।",ネパール語,N2
61,替える,かえる,परिवर्तन,अपरिवर्तित,परिवर्तन,फरक,परिवर्तन,出かける前にバッグを替えた。,बाहिर निस्कनु अघि मैले मेरो झोला परिवर्तन गरें।,ネパール語,N2
62,  故郷,こきょう,गृहनगर,गृहनगर,गाउँ,ग्रामीण,गृहनगर,故郷の母から荷物が届いた。,आमाबाट घर फर्केर एउटा प्याकेज आयो।,ネパール語,N2
63,離れる,はなれる,छोड,फाल्नु,भर्न,छोड,छोड,ふるそとは離れて、もう10年になる。,मैले आफ्नो गृहनगर छोडेको १० वर्ष भइसक्यो।,ネパール語,N2
64,帰省,きせい,घर फर्कदै,घर फर्कदै,घर फर्किनु,ग्रामीण,घर फर्कदै,夏休みと年末の年2回は帰省する。,"म वर्षमा दुई पटक, गर्मी बिदामा र वर्षको अन्त्यमा मेरो गृहनगर जान्छु।",ネパール語,N2
65,改善,かいぜん,सुधार,प्रमाण,सुधार,मिश्रण,सुधार,子どもやお年寄りのために、町の交通がかいぜんされた。,बालबालिका र बृद्धबृद्धाहरुलाई आवतजावत गर्न सहरको यातायात अवरुद्ध भएको छ ।,ネパール語,N2
66,行事,ぎょうじ,घटना,हल,घटना,कार्यक्रम,घटना,私の国には、いろいろな行事がある。,मेरो देशमा विभिन्न घटनाहरु भइरहेका छन् ।,ネパール語,N2
67,誇り,ほこり,गर्व,अहङ्कार,घटना,गर्व,गर्व,自分のふるさとを誇りに思っている。,मलाई मेरो गृहनगरमा गर्व छ।,ネパール語,N2
68,載る,のる,केहि मा,गर,भेट्नुहोस्,केहि मा,केहि मा,新聞に私の国の記事が載っていて、うれしかった。,अखबारमा आफ्नो देशको बारेमा लेख देख्दा खुसी लाग्यो।,ネパール語,N2
69,宣伝,せんでん,विज्ञापन,विज्ञापन,अखबार,महसुस,विज्ञापन,ふるさとの良さを、もっと宣伝したい。,म मेरो गृहनगरको भलाइलाई अझ बढि प्रवर्द्धन गर्न चाहन्छु।,ネパール語,N2
70,生産,せいさん,उत्पादन,उत्पादन,पुरस्कार,उत्पादन गर्न,उत्पादन,私の田舎では米の生産が盛んだ。,मेरो गाउँमा धान उत्पादन फस्टाएको छ ।,ネパール語,N2
71,栽培,さいばい,खेती,संस्कृति,समृद्धि,खेती,खेती,この地域では、いちごを栽培している。,यस क्षेत्रमा स्ट्रबेरी खेती गरिन्छ।,ネパール語,N2
72,農家,のうか,किसान,खेत,महोत्सव,किसान,किसान,野菜は知り合いの農家から直接買っている。,मैले चिनेका किसानहरुबाट सिधै तरकारी किन्छु ।,ネパール語,N2
73,作物,さくもつ,उत्पादन गर्न,उत्पादन,उत्पादन गर्न,रोक्नुहोस्,उत्पादन गर्न,農家の人たちは愛情を込めて作物をそだてている。,किसानले आफ्नो बाली मायाले खेती गर्छन्।,ネパール語,N2
74,現地,げんち,साइट,जोखिम,कठोर,साइट,साइट,A 社は現地を調査して、新しい工場を建てた。,कम्पनी ए साइट सर्वेक्षण र नयाँ कारखाना निर्माण।,ネパール語,N2
75,生える,はえる,बढ्नुहोस्,बढ्यो,बढ्नुहोस्,जोखिम,बढ्नुहोस्,春になって、畑に  雑草が生えてきた。,वसन्त ऋतुमा खेतमा झारपात बढ्न थालेको छ ।,ネパール語,N2
76,挑戦,ちょうせん,चुनौती,परिवर्तन,अनुच्छेद,चुनौती,चुनौती,今年、N2 の試験に挑戦することにした。,"यस वर्ष, मैले N2 परीक्षा दिने निर्णय गरें।",ネパール語,N2
77,備える,そなえる,तयारी गर्नुहोस्,बालुवा,ओभरफ्लो,तयारी गर्नुहोस्,तयारी गर्नुहोस्,台風に備えて、社員は早めに退社した。,कर्मचारीहरूले आँधीको लागि तयारी गर्न चाँडै काम छोडे।,ネパール語,N2
78,観測,かんそく,अवलोकन गर्नुहोस्,अस्वीकार गर्नुहोस्,अवलोकन गर्नुहोस्,कारण,अवलोकन गर्नुहोस्,最近、日本の各地で地震を観測している。,पछिल्लो समय जापानका विभिन्न भागमा भूकम्पको धक्का महसुस भएको छ ।,ネパール語,N2
79,及ぶ,およぶ,मा विस्तार गर्नुहोस्,कार्य,पुग्नु,मा विस्तार गर्नुहोस्,मा विस्तार गर्नुहोस्,地震の被害は数十億円に及んだ。,भूकम्पबाट केही अर्ब येन बराबरको क्षति भएको छ ।,ネパール語,N2
80,訪れる,おとずれる,भ्रमण गर्नुहोस्,आइपुग्नुहोस्,भ्रमण गर्नुहोस्,दूरी,भ्रमण गर्नुहोस्,ここは週末なると、多くの観光客が訪れる。,सप्ताहन्तमा धेरै पर्यटकहरू यहाँ घुम्न आउँछन्।,ネパール語,N2
81,清潔な,せいけつな,सफा,फोहोर,शान्त,सफा,सफा,このデパートはトイレを清潔に保っている。,यो डिपार्टमेन्ट स्टोरले आफ्नो शौचालय सफा राख्छ।,ネパール語,N2
82,客観的な,きゃっかんてき,उद्देश्य,उद्देश्य,सफा,शान्त,उद्देश्य,社長の意見は、いつも客観的だ。,राष्ट्रपतिको विचार सधैं वस्तुनिष्ठ हुन्छ।,ネパール語,N2
83,冷静な,れいせいな,शान्त,नम्र,एक पटक,शान्त,शान्त,彼女は何があっても、冷静に対応する。,जे भए पनि शान्त भएर जवाफ दिन्छिन् ।,ネパール語,N2
84,乏しい,とぼしい,अभाव,अभाव,साधारण,सजिलो,अभाव,彼は想像力が乏しく、話していてつまらない。,उहाँसँग थोरै कल्पना छ र कुरा गर्न बोरिंग छ।,ネパール語,N2
85,矛盾,むじゅん,विरोधाभास,सम्झौता,अलमलिएको,विरोधाभास,विरोधाभास,彼の話は矛盾している。,उनको कथा विरोधाभासपूर्ण छ।,ネパール語,N2
86,負傷,ふしょう,कार्य,दुर्घटना,बिरामी,कार्य,कार्य,事故で負傷し、救急車で運ばれた。,दुर्घटनामा परी घाइते भएका उनलाई एम्बुलेन्समा लगिएको थियो ।,ネパール語,N2
87,作用,さよう,चोट,सुधार गर्नुहोस्,चोट,मुद्दा,चोट,説明書をよんだ,मैले म्यानुअल पढें,ネパール語,N2
88,世代,せだい,पुस्ता,पुस्ता,बच्चा जन्म,गर्भावस्था,पुस्ता,世代が違うと、話が合わないこともある。,कहिलेकाहीँ हामी विभिन्न पुस्ताबाट आएका छौं भने हामी मिल्दैनौं।,ネパール語,N2
89,大家,おおや,ल्याण्डवर्ड,अनुमान गर्नुहोस्,ल्याण्डवर्ड,विनिमय,ल्याण्डवर्ड,私のアパートの大家さんは、とても親切な人だ。,मेरो अपार्टमेन्टको घरधनी धेरै दयालु व्यक्ति हुनुहुन्छ।,ネパール語,N2
90,間隔,かんかく,स्पेस,बिन्दु,चिल्लो,स्पेस,स्पेस,高速道路では前の車と間隔をあけて走る。,"राजमार्गमा, आफ्नो अगाडिको कारबाट सुरक्षित दूरी राख्नुहोस्।",ネパール語,N2
91, 慎重な,しんちょうな,सावधानीपूर्वक,सावधानीपूर्वक,इजाजतपत्र,ध्यान,सावधानीपूर्वक,車は慎重に運転するべきだ。,तपाईंले आफ्नो कार सावधानीपूर्वक चलाउनु पर्छ।,ネパール語,N2
92,急増,きゅうぞう,द्रुत वृद्धि,एक्सप्रेस,संरचना,द्रुत वृद्धि,द्रुत वृद्धि,このあたりは最近観光客が急増している。,पछिल्लो समय यस क्षेत्रमा पर्यटकको संख्या ह्वात्तै बढेको छ ।,ネパール語,N2
93,情緒,じょうちょ,वायुमण्डल,सुधार गर्नुहोस्,वायुमण्डल,किसान,वायुमण्डल,この町は情緒があるので、観光客が多く訪れる。,"यो सहरमा राम्रो वातावरण छ, त्यसैले यो धेरै पर्यटकहरु द्वारा भ्रमण गरिएको छ।",ネパール語,N2
94,構成,こうせい,संरचना,कठोर,जोखिम,संरचना,संरचना,地元の商品を開発するため、チームが構成された。,स्थानीय उत्पादन विकास गर्न टोली गठन गरिएको छ ।,ネパール語,N2
95,高等,こうとう,सुपीरियर,चरण,सुपीरियर,सिक्नुहोस्,सुपीरियर,日本で高等な技術を学びたい。,म जापानमा उन्नत प्रविधि सिक्न चाहन्छु।,ネパール語,N2
96,認識,にんしき,अनुभूति,अनुभूति,राहत,नतिजा,अनुभूति,学校では規則を守るように生徒に認識される。,"विद्यालयमा, विद्यार्थीहरूलाई नियमहरू पालना गर्न सम्झाइन्छ।",ネパール語,N2
97,信頼,しんらい,भरोसा,महसुस गर्नुहोस्,तर्क गर्नुहोस्,भरोसा,भरोसा,あの先輩は信頼できる人だと思う。,मलाई लाग्छ कि वरिष्ठ एक व्यक्ति हो जुन मैले विश्वास गर्न सक्छु।,ネパール語,N2
98,敗れる,やぶれる,पराजित भयो,पराजित भयो,विस्तार,पराजय,पराजित भयो,逆転でライバルに敗れてしまった。,पुनरागमनमा म मेरो प्रतिद्वन्द्वीसँग हारेँ।,ネパール語,N2
99,綿,めん,कपास,कपास,ढिलो,बटम,कपास,綿の服は着心地が、とてもいい。,सुती कपडा लगाउन धेरै सहज छ।,ネパール語,N2
100,主役,しゅやく,मुख्य भूमिका,शब्द,मुख्य भूमिका,स्टेज,मुख्य भूमिका,主役は今一番人気がある女優だ。,मुख्य भूमिका अहिलेको सबैभन्दा चर्चित अभिनेत्री हुन्।,ネパール語,N2
